155,Bob Dylan,Knockin On Heavens Door,0,['Am' 'C' 'D' 'G']
156,Daniel Thomas,Amazing Grace,0,['A7' 'D' 'G']
157,Dixie Chicks,Landslide,7,['Am7' 'C' 'D7' 'Em' 'G']
158,Judy Garland,Over The Rainbow,0,"['B7' 'Bm7' 'C' 'C6' 'Cmaj7' 'Csus' 'Dm' 'Em' 'F' 'Fm' 'Fmaj7' 'Fmaj7(b5)'
 'G' 'G6' 'G7']"
159,George Harrison,Here Comes The Sun,0,['A7' 'A7sus' 'C' 'D' 'Dadd9' 'E7' 'F' 'G' 'G6' 'Gmaj7']
160,Michael Jackson,Beat It,0,['C' 'D' 'Em']
161,Michael Jackson,Heal The World,0,"['A' 'A#m' 'B' 'Bm7' 'C#' 'C#m' 'C#m7' 'D' 'D#m' 'D#m7' 'E' 'F#' 'F#m'
 'Fm' 'G' 'G#' 'G#m']"
162,Ben E. King,Stand By Me,0,['A' 'D' 'E' 'F#m']
163,Bob Marley,Is This Love,0,['A' 'Bm' 'C#' 'C#m' 'D' 'Dmaj7' 'E' 'F#m']
164,Ralph McTell,Streets Of London,2,['Am' 'C' 'D7' 'Em' 'F' 'G' 'G7']
165,Van Morrison,Brown Eyed Girl,0,['C' 'D' 'D7' 'Em' 'G']
166,Nirvana,About A Girl,0,['A' 'A5' 'C' 'C#' 'E' 'Em' 'F#' 'G' 'G#']
167,Nirvana,Come As You Are,0,['Am' 'C' 'D' 'Em']
168,Oasis,Stand By Me,0,['A' 'Am' 'B' 'C' 'D' 'Dsus4' 'Em' 'F' 'G' 'G/F#' 'G7']
169,Elvis Presley,Suspicious Minds,0,['B7' 'B7sus4' 'Bm' 'C' 'D' 'D7' 'Em' 'G']
170,Parokya ni Edgar,Harana,0,['A' 'Am' 'Bm' 'C' 'D' 'Dsus' 'E' 'Esus' 'G' 'G7']
171,Iggy Pop,The Passenger,0,['Am' 'C' 'E' 'F' 'G']
172,Queen,Dont Stop Me Now,0,['Am' 'Am7' 'Bb' 'C' 'C7' 'D7' 'Dm' 'Dm7' 'Eb' 'F' 'F7' 'Gm' 'Gm7']
173,The Righteous Brothers,Unchained Melody,0,['Am' 'C' 'C7' 'Eb' 'Em' 'F' 'Fm' 'G']
174,Rivermaya,Kisapmata,0,['A' 'D' 'Em' 'G']
175,Rivermaya,Hinahanap-Hanap Kita,0,['A' 'Am' 'Bb' 'D' 'Dsus4' 'Em' 'G']
176,Simon & Garfunkel,Mrs Robinson,0,['A' 'A7' 'Am' 'C' 'D' 'E' 'E7' 'Em' 'G']
177,Simon & Garfunkel,The Boxer,0,['Am' 'C' 'Dm' 'Dm7' 'Em' 'F' 'G' 'G7']
178,Soul Asylum,Runaway Train,0,['Am' 'C' 'Em' 'F' 'G']
179,The Smiths,There Is A Light That Never Goes Out,4,['Am' 'C' 'Dm' 'F' 'G']
180,Cat Stevens,Father And Son,0,['Am' 'Am7' 'Bm' 'C' 'D' 'D/F#' 'Em' 'G']
181,Toto,Africa,0,['A' 'B' 'C#m' 'C#m7' 'D' 'D#m' 'E' 'Eb7' 'F#m' 'G#m']
182,Bonnie Tyler,Total Eclipse Of The Heart,0,['A' 'Abmaj7' 'Am' 'Am7' 'B' 'Bb' 'Bm7' 'C' 'D' 'Eb' 'Em' 'G' 'G6']
183,3 Doors Down,Here Without You,1,['A' 'A#m' 'C#' 'F#' 'G#']
184,Pixies,Where Is My Mind,0,['A' 'Am' 'B' 'C#m' 'E' 'G#']
185,Johnny Cash,Hurt,0,['Am' 'C' 'D' 'F' 'G']
186,John Mayer,Daughters,0,['Asus4' 'Asus7' 'B' 'Bm7' 'D' 'D#' 'D/F#' 'Dmaj7' 'Dsus2' 'Em7' 'F']
187,Limp Bizkit,Behind Blue Eyes,0,['A' 'Bm' 'C' 'D' 'E' 'Em' 'G']
188,OutKast,Hey Ya,0,['C' 'D' 'E' 'G']
189,Linkin Park,Numb,2,['B' 'Bm7' 'Bsus4' 'C' 'D' 'D/F#' 'Em' 'G']
190,Elvis Presley,Love Me Tender,0,['A7' 'B7' 'Bm' 'D' 'D7' 'E7' 'F#7' 'G' 'Gm']
191,Led Zeppelin,Stairway To Heaven,0,['Am' 'Am7' 'C' 'C9' 'D' 'F' 'G']
192,Evanescence,My Immortal,0,['A' 'C#m' 'D' 'E' 'F#m']
193,Crowded House,Dont Dream Its Over,3,['Am' 'C' 'C9' 'Csus2' 'E' 'F' 'G']
194,Lou Reed,Perfect Day,0,['A' 'Am' 'C' 'C#m' 'D' 'D/C#' 'Dm' 'E' 'F' 'F#m' 'G']
195,Gary Jules,Mad World,1,['A' 'D' 'Em' 'G']
196,Leonard Cohen,Hallelujah,0,['Am' 'C' 'E' 'F' 'G']
197,Seether,Broken,0,['C' 'Em' 'G']
198,Parokya ni Edgar,Your Song,2,['A' 'D' 'E' 'F#m']
199,The Cure,Friday Im In Love,0,['A' 'Bm' 'C' 'D' 'G']
200,Led Zeppelin,Stairway To Heaven,0,['Am' 'Am7' 'C' 'D' 'D/F#' 'Dsus4' 'Fmaj7' 'G']
201,Scorpions,Wind Of Change,0,['A' 'Am' 'B' 'C' 'D' 'Dm' 'E' 'F' 'G']
202,Radiohead,Karma Police,0,['Am' 'Bm' 'C' 'D' 'D/F#' 'E' 'Em' 'F' 'F#7' 'G' 'G/F#']
203,Limp Bizkit,Behind Blue Eyes,0,['Asus2' 'Bm' 'Cadd9' 'D' 'Dsus2' 'E' 'Em' 'Esus4' 'G' 'G6']
204,Hoobastank,The Reason,0,['Asus' 'Bsus' 'C#m9' 'Dsus2' 'E' 'Esus']
205,David Bowie,Space Oddity,0,['A' 'Am' 'Bb' 'C' 'D' 'D/F#' 'E' 'E7' 'Em' 'F' 'Fm' 'Fmaj7' 'G']
206,Snow Patrol,Run,0,['Am' 'C' 'F' 'G']
207,Howie Day,Collide,4,['Bm' 'C' 'F#' 'G']
208,Randy Newman,Youve Got A Friend In Me,0,['A' 'A7' 'Am' 'B' 'B7' 'C' 'D' 'D7' 'Dm' 'E7' 'Em' 'F' 'G']
209,Evanescence,My Immortal,2,['Am' 'Bm' 'C' 'D' 'Em' 'G']
210,3 Doors Down,Here Without You,1,['Am' 'C' 'F' 'G']
211,Evanescence,Bring Me To Life,0,['Am' 'C' 'D' 'Em' 'Gm']
212,Incubus,Drive,0,['A' 'A7' 'Asus2' 'C' 'Cmaj7' 'D' 'Em7']
213,Alicia Keys,If I Aint Got You,0,['Am7' 'Bm7' 'Cmaj7' 'D7' 'E' 'Em' 'G' 'Gmaj7']
214,Keane,Everybodys Changing,0,['A' 'C' 'Cmaj7' 'Dm' 'Em7' 'F' 'G']
215,Coldplay,Yellow,4,['C' 'D' 'Dm' 'Em' 'G']
216,R.E.M.,Losing My Religion,0,['Am' 'C' 'Dm' 'Em' 'F' 'G']
217,Avril Lavigne,My Happy Ending,0,['A' 'Bm' 'D' 'E' 'Em' 'G']
218,Keane,Somewhere Only We Know,2,['Am' 'Bm' 'C' 'D' 'Em' 'G']
219,Radiohead,Exit Music For A Film,2,"['A' 'Am' 'Asus2' 'Asus4' 'B' 'Bb' 'D7/F#' 'Dadd9/F#' 'E' 'Esus4' 'F'
 'Gmadd11']"
220,Jason Mraz,You And I Both,0,['Am' 'C' 'D' 'Em' 'G' 'Gmaj7']
221,Tamia,Officially Missing You,0,"['Am7' 'B7' 'Bm' 'Bm7' 'C#dim' 'D7sus' 'Dm' 'Dm7' 'Em' 'Em7' 'F#m' 'G'
 'G7']"
222,Blink-182,All The Small Things,0,['C' 'F' 'G']
223,Eraserheads,With A Smile,0,['Am' 'Bb' 'Bm' 'D' 'E' 'Eb' 'G']
224,Michael Jackson,Billie Jean,0,['Bm' 'C#(7)' 'D' 'F#m']
225,Lynyrd Skynyrd,Free Bird,0,['C' 'D' 'Em' 'F' 'G']
226,Kelly Clarkson,Breakaway,0,['Am' 'C' 'D' 'F' 'G']
227,Counting Crows,Accidentally In Love,0,['A' 'Am' 'C' 'D' 'Em' 'G']
228,Pink Floyd,Time,0,['A' 'Amaj7' 'Bm7' 'C#7' 'C#m7' 'Dmaj7' 'E' 'F#m']
229,Moonstar88,Torete,0,['Bm' 'D' 'F#m' 'G']
230,Poison,Every Rose Has Its Thorn,0,['C' 'Cadd9' 'D' 'Em' 'G']
231,3 Doors Down,Here Without You,0,['A' 'Bm' 'D' 'G']
232,Sting,Fields Of Gold,0,['A' 'Bm7' 'Bsus2' 'D' 'Dsus4' 'G']
233,Matt Redman,The Heart Of Worship,0,['A' 'A/C#' 'A2/C#' 'A7sus4' 'D' 'D/F#' 'Em' 'G']
